dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,AAPL,NN1_1,fixed,838,1.5815307080728048e-08,0.00012575892445758292,8.727088517971003e-05,-0.6108407626849162,1.7722984237348575e-08,0.8923614030756525
MHAR,22,AAPL,NN2,fixed,838,2.0077524486226806e-08,0.00014169518159142465,0.00011435938312663508,-1.044961548399466,1.7722984237348575e-08,1.132852358121291
MHAR,22,AAPL,NN2_1,fixed,838,1.360996275315649e-08,0.00011666174502876463,7.84077364032116e-05,-0.3862192285929782,1.7722984237348575e-08,0.7679272616219733
MHAR,22,AAPL,NN3,fixed,838,2.3012759803431686e-08,0.00015169957087425028,0.0001272178367478426,-1.3439248674732776,1.7722984237348575e-08,1.2984698003023492
MHAR,22,AAPL,NN3_1,fixed,838,2.215435240026451e-08,0.00014884338211779692,0.00012010008755406933,-1.2564932653580603,1.7722984237348575e-08,1.2500351015139697
MHAR,22,AAPL,NN4,fixed,838,2.1706313876935248e-08,0.00014733062776264565,0.00012083503532431169,-1.210859076091423,1.7722984237348575e-08,1.2247550179045126
MHAR,22,AAPL,NN4_1,fixed,838,2.030493393682992e-08,0.00014249538215966833,0.00011239661994038912,-1.0681239448664726,1.7722984237348575e-08,1.1456836876286483
MHAR,22,AAPL,PostLasso,rolling,838,1.9813886955760956e-08,0.00014076180929414398,0.00011017892382742469,-1.0181092034857544,1.7722984237348575e-08,1.117976898834346
MHAR,22,AAPL,RandomForest,rolling,838,1.4056200172244158e-08,0.00011855884687463925,7.682225420006085e-05,-0.43166996950066827,1.7722984237348575e-08,0.7931057198946658
MHAR,22,AAPL,Ridge,rolling,838,1.989974862465938e-08,0.0001410664688175733,0.00011102201127807637,-1.0268544953417864,1.7722984237348575e-08,1.1228215495855147
MHAR,22,AAPL,SHAR,rolling,838,1.7362368301026012e-08,0.00013176633978761803,9.937159065867804e-05,-0.7684140088637255,1.7722984237348575e-08,0.979652640238622
MHAR,22,JPM,AdaptiveLasso,rolling,837,1.3473834831461339e-08,0.00011607684881776098,0.00010035918386462073,-1.5220279467151476,1.1570453305627072e-08,1.1645036262242718
MHAR,22,JPM,Bagging,rolling,837,9.815440620496174e-09,9.907290558218314e-05,5.984997818600536e-05,-0.8372509284745011,1.1570453305627072e-08,0.8483194531127505
MHAR,22,JPM,ElasticNet,rolling,837,1.3473770614394283e-08,0.00011607657220298281,0.00010035924219476589,-1.5220159265857784,1.1570453305627072e-08,1.164498076133419
MHAR,22,JPM,GradientBoosting,rolling,837,1.2263835121307789e-08,0.00011074220117600963,6.57658071290342e-05,-1.295540601226921,1.1570453305627072e-08,1.0599269360815364
MHAR,22,JPM,HAR,rolling,837,1.1570453305627072e-08,0.00010756604160062353,9.055891669628023e-05,-1.1657536223330145,1.1570453305627072e-08,1.0
MHAR,22,JPM,HARQ,rolling,837,1.1495841473673627e-08,0.00010721866196550685,7.465234413623848e-05,-1.151787804308971,1.1570453305627072e-08,0.9935515204130196
MHAR,22,JPM,HARX,rolling,837,1.1570453305627072e-08,0.00010756604160062353,9.055891669628023e-05,-1.1657536223330145,1.1570453305627072e-08,1.0
MHAR,22,JPM,Lasso,rolling,837,1.3474024638336326e-08,0.00011607766640631748,0.00010036077946705334,-1.5220634747032205,1.1570453305627072e-08,1.1645200306701455
MHAR,22,JPM,LevHAR,rolling,836,1.3582179538938619e-08,0.00011654260825525839,8.165348769651055e-05,-1.5402846322414736,1.1570453305627072e-08,1.1738675383040682
MHAR,22,JPM,LogHAR,rolling,837,7.525502895813334e-09,8.674965645933899e-05,5.526339746496686e-05,-0.4086211426616193,1.1570453305627072e-08,0.6504069198527811
MHAR,22,JPM,NN1,fixed,837,1.1655532956383564e-08,0.00010796079360760352,8.649090621374676e-05,-1.18167880321794,1.1570453305627072e-08,1.0073531821536426
MHAR,22,JPM,NN1_1,fixed,837,1.1633146578953171e-08,0.00010785706550316104,6.618321650039274e-05,-1.1774885284957555,1.1570453305627072e-08,1.0054183938753385
MHAR,22,JPM,NN2,fixed,837,1.212351720512358e-08,0.0001101068444971682,8.9483912031401e-05,-1.2692759400916156,1.1570453305627072e-08,1.0477996742986322
MHAR,22,JPM,NN2_1,fixed,837,1.0484049068418442e-08,0.00010239164550107807,7.431888490431916e-05,-0.9624008365862151,1.1570453305627072e-08,0.9061053004137463
MHAR,22,JPM,NN3,fixed,837,1.564767882440359e-08,0.00012509068240442047,0.00010941430889311738,-1.9289273462237118,1.1570453305627072e-08,1.3523825221950152
MHAR,22,JPM,NN3_1,fixed,837,9.869664617576396e-09,9.934618572233358e-05,8.073368826278322e-05,-0.8474005583111084,1.1570453305627072e-08,0.8530058725336603
MHAR,22,JPM,NN4,fixed,837,1.3406600781425311e-08,0.00011578687655095162,9.853602319457986e-05,-1.5094430994698946,1.1570453305627072e-08,1.1586927864706271
MHAR,22,JPM,NN4_1,fixed,837,1.1126493974255701e-08,0.00010548219742807647,8.605097270547234e-05,-1.0826534615451497,1.1570453305627072e-08,0.961629910285757
MHAR,22,JPM,PostLasso,rolling,837,1.3473464903207772e-08,0.00011607525534414202,0.00010035765107960925,-1.5219587036670141,1.1570453305627072e-08,1.164471654421284
MHAR,22,JPM,RandomForest,rolling,837,1.1041778068132188e-08,0.00010507986518897037,5.9680245923071544e-05,-1.0667963662603008,1.1570453305627072e-08,0.9543081655030946
MHAR,22,JPM,Ridge,rolling,837,1.3473465007796723e-08,0.0001160752557946642,0.00010035765162396829,-1.521958723243939,1.1570453305627072e-08,1.1644716634605972
MHAR,22,JPM,SHAR,rolling,837,1.1177759769764911e-08,0.0001057249250165963,8.936681939177485e-05,-1.092249376190245,1.1570453305627072e-08,0.9660606611090006
MHAR,22,MSFT,AdaptiveLasso,rolling,838,9.42399008336584e-09,9.707723772010533e-05,7.005167805106402e-05,-0.46890918664934067,6.935257070660815e-09,1.358852308912017
MHAR,22,MSFT,Bagging,rolling,838,8.711161495964766e-09,9.33336032518019e-05,5.464103421505681e-05,-0.3578012110172464,6.935257070660815e-09,1.256069011892408
MHAR,22,MSFT,ElasticNet,rolling,838,8.101356162665713e-09,9.000753392169854e-05,6.619878492314289e-05,-0.26275138093181205,6.935257070660815e-09,1.1681407163604662
MHAR,22,MSFT,GradientBoosting,rolling,838,9.428240867009194e-09,9.709912907441134e-05,6.8719787134307e-05,-0.4695717526207548,6.935257070660815e-09,1.359465232643617
MHAR,22,MSFT,HAR,rolling,838,6.935257070660815e-09,8.327819084646841e-05,5.346919236394026e-05,-0.08099252362859222,6.935257070660815e-09,1.0
MHAR,22,MSFT,HARQ,rolling,838,6.698317225872485e-09,8.184324789420619e-05,5.224561749697594e-05,-0.04406091487115393,6.935257070660815e-09,0.9658354632893581
MHAR,22,MSFT,HARX,rolling,838,6.935257070660815e-09,8.327819084646841e-05,5.346919236394026e-05,-0.08099252362859222,6.935257070660815e-09,1.0
MHAR,22,MSFT,Lasso,rolling,838,8.238361829239275e-09,9.076542199119263e-05,6.650469202167259e-05,-0.2841063357304321,6.935257070660815e-09,1.1878956677887493
MHAR,22,MSFT,LevHAR,rolling,837,7.077471297709421e-09,8.412770826374281e-05,5.391435768692425e-05,-0.10205583282409303,6.935257070660815e-09,1.0205059777308378
MHAR,22,MSFT,LogHAR,rolling,838,5.6038586485420715e-09,7.485892497586425e-05,4.918488296947205e-05,0.12653139734758156,6.935257070660815e-09,0.8080246473124776
MHAR,22,MSFT,NN1,fixed,838,7.263709833489898e-09,8.522740072001433e-05,6.359120760814577e-05,-0.13218817180224574,6.935257070660815e-09,1.0473598540735545
MHAR,22,MSFT,NN1_1,fixed,838,8.27472482658798e-09,9.096551449086615e-05,6.598325943061345e-05,-0.28977420468902726,6.935257070660815e-09,1.1931388760762311
MHAR,22,MSFT,NN2,fixed,838,8.470579518546746e-09,9.20357513064719e-05,7.139653447067419e-05,-0.3203019061956758,6.935257070660815e-09,1.2213793133034707
MHAR,22,MSFT,NN2_1,fixed,838,9.60511255196222e-09,9.80056761211422e-05,7.609406479821797e-05,-0.49714058923744786,6.935257070660815e-09,1.3849684956302581
