date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2004-07-27,VZ,1,Alpha Vantage EARNINGS,2004-07-27,2004-06-30,0.64,0.6,0.04,6.6667,False
2004-10-28,VZ,1,Alpha Vantage EARNINGS,2004-10-28,2004-09-30,0.65,0.64,0.01,1.5625,False
2005-01-27,VZ,1,Alpha Vantage EARNINGS,2005-01-27,2004-12-31,0.64,0.63,0.01,1.5873,False
2005-04-27,VZ,1,Alpha Vantage EARNINGS,2005-04-27,2005-03-31,0.63,0.6,0.03,5.0,False
2005-07-26,VZ,1,Alpha Vantage EARNINGS,2005-07-26,2005-06-30,0.63,0.64,-0.01,-1.5625,False
2005-10-27,VZ,1,Alpha Vantage EARNINGS,2005-10-27,2005-09-30,0.66,0.64,0.02,3.125,False
2006-01-26,VZ,1,Alpha Vantage EARNINGS,2006-01-26,2005-12-31,0.64,0.64,0.0,0.0,False
2006-05-02,VZ,1,Alpha Vantage EARNINGS,2006-05-02,2006-03-31,0.6,0.59,0.01,1.6949,False
2006-08-01,VZ,1,Alpha Vantage EARNINGS,2006-08-01,2006-06-30,0.64,0.62,0.02,3.2258,False
2006-10-30,VZ,1,Alpha Vantage EARNINGS,2006-10-30,2006-09-30,0.68,0.66,0.02,3.0303,False
2007-01-29,VZ,1,Alpha Vantage EARNINGS,2007-01-29,2006-12-31,0.62,0.62,0.0,0.0,False
2007-04-30,VZ,1,Alpha Vantage EARNINGS,2007-04-30,2007-03-31,0.54,0.54,0.0,0.0,False
2007-07-30,VZ,1,Alpha Vantage EARNINGS,2007-07-30,2007-06-30,0.58,0.58,0.0,0.0,False
2007-10-29,VZ,1,Alpha Vantage EARNINGS,2007-10-29,2007-09-30,0.63,0.62,0.01,1.6129,False
2008-01-28,VZ,1,Alpha Vantage EARNINGS,2008-01-28,2007-12-31,0.62,0.62,0.0,0.0,False
2008-04-28,VZ,1,Alpha Vantage EARNINGS,2008-04-28,2008-03-31,0.61,0.61,0.0,0.0,False
