dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,5,IBM,PostLasso,rolling,841,4.5730825446118055e-09,6.762457056877925e-05,3.663823414931657e-05,-0.0114834739460998,4.476953776643072e-09,1.0214719143338606
MHAR,5,IBM,RandomForest,rolling,841,4.297381656779123e-09,6.555441752299476e-05,3.541247511292886e-05,0.049496595640354,4.476953776643072e-09,0.9598896640834662
MHAR,5,IBM,Ridge,rolling,841,4.384646887175522e-09,6.62166662342308e-05,3.634317695828008e-05,0.0301950987758251,4.476953776643072e-09,0.9793817640134844
MHAR,5,IBM,SHAR,rolling,841,4.445069141483962e-09,6.667135172983943e-05,3.632956409327062e-05,0.0168307846408081,4.476953776643072e-09,0.9928780512933914
MHAR,5,INTC,AdaptiveLasso,rolling,841,1.3576294048212189e-08,0.0001165173551373,7.222950849621686e-05,-0.0094663317320637,1.2747196236028465e-08,1.0650415822296966
MHAR,5,INTC,Bagging,rolling,841,1.3238648481320102e-08,0.0001150593259206,6.327438069588881e-05,0.0156393289604451,1.2747196236028465e-08,1.038553752228479
MHAR,5,INTC,ElasticNet,rolling,841,1.3693951789686354e-08,0.000117021159581,7.310700752351929e-05,-0.018214781659859,1.2747196236028465e-08,1.0742716701090704
MHAR,5,INTC,GradientBoosting,rolling,841,1.4598965857945887e-08,0.0001208261803498,7.11319481071993e-05,-0.0855071685518307,1.2747196236028465e-08,1.145268778139903
MHAR,5,INTC,HAR,rolling,841,1.2747196236028465e-08,0.0001129034819482,6.36856622396665e-05,0.0521812964159429,1.2747196236028465e-08,1.0
MHAR,5,INTC,HARQ,rolling,841,1.306981043027294e-08,0.0001143232716041,6.206724547095205e-05,0.0281932945302918,1.2747196236028465e-08,1.0253086395055755
MHAR,5,INTC,HARX,rolling,841,1.2747196236028465e-08,0.0001129034819482,6.36856622396665e-05,0.0521812964159429,1.2747196236028465e-08,1.0
MHAR,5,INTC,Lasso,rolling,841,1.348859533704156e-08,0.0001161404121614,7.32603590659474e-05,-0.0029454876822327,1.2747196236028465e-08,1.0581617390432587
MHAR,5,INTC,LevHAR,rolling,840,1.2393634702282684e-08,0.0001113267025573,6.399661674241539e-05,0.0790622831682001,1.2747196236028465e-08,0.9722635843051918
MHAR,5,INTC,LogHAR,rolling,841,1.176291736592992e-08,0.0001084569839426,5.953547040358594e-05,0.1253674234157923,1.2747196236028465e-08,0.9227846773617092
MHAR,5,INTC,NN1,fixed,841,1.2594343353588691e-08,0.0001122245220688,5.7970594124787185e-05,0.0635466836109462,1.2747196236028465e-08,0.9880089017530184
MHAR,5,INTC,NN1_1,fixed,841,1.2912177934283912e-08,0.0001136317646359,5.8011065848931245e-05,0.0399140702385026,1.2747196236028465e-08,1.0129425871541184
MHAR,5,INTC,NN2,fixed,841,1.3208096157233569e-08,0.0001149264815316,5.917038335523565e-05,0.0179110492408102,1.2747196236028465e-08,1.036156964454852
MHAR,5,INTC,NN2_1,fixed,841,1.2278618007195102e-08,0.0001108089256657,5.706194313218232e-05,0.0870224647134291,1.2747196236028465e-08,0.963240682879818
MHAR,5,INTC,NN3,fixed,841,1.2553677803412506e-08,0.0001120431961495,5.572961592916781e-05,0.0665703735530202,1.2747196236028465e-08,0.9848187453120868
MHAR,5,INTC,NN3_1,fixed,841,1.1462960856824849e-08,0.0001070652177732,5.3606823175403406e-05,0.1476707114743864,1.2747196236028465e-08,0.899253502070214
MHAR,5,INTC,NN4,fixed,841,1.292243697085884e-08,0.0001136768972608,5.910616155645521e-05,0.0391512588275519,1.2747196236028465e-08,1.0137473944533058
MHAR,5,INTC,NN4_1,fixed,841,1.1993169141829244e-08,0.0001095133286035,5.772019931222711e-05,0.108247035866254,1.2747196236028465e-08,0.94084761227194
MHAR,5,INTC,PostLasso,rolling,841,1.28342100536425e-08,0.0001132881726114,6.471638959059674e-05,0.0457113776763431,1.2747196236028465e-08,1.006826114229583
MHAR,5,INTC,RandomForest,rolling,841,1.2415862024549168e-08,0.0001114264870869,6.17473775458244e-05,0.0768176758175356,1.2747196236028465e-08,0.9740072871442256
MHAR,5,INTC,Ridge,rolling,841,1.2832035102310026e-08,0.0001132785730061,6.519673621378071e-05,0.0458730963409133,1.2747196236028465e-08,1.0066554922910635
MHAR,5,INTC,SHAR,rolling,841,1.2155117686414098e-08,0.0001102502502782,6.227865988861977e-05,0.0962053400506756,1.2747196236028465e-08,0.9535522526953084
MHAR,5,JNJ,AdaptiveLasso,rolling,829,8.27867810430321e-08,0.0002877269209563,6.530586953808487e-05,-0.0077926095233278,1.270985867290511e-07,0.6513587851257313
MHAR,5,JNJ,Bagging,rolling,829,8.805032171921735e-08,0.0002967327446023,6.070184605501603e-05,-0.0718675418561554,1.270985867290511e-07,0.6927718394455725
MHAR,5,JNJ,ElasticNet,rolling,829,8.534414712709752e-08,0.0002921372059959,6.533858149520026e-05,-0.0389243265305041,1.270985867290511e-07,0.6714799064527309
MHAR,5,JNJ,GradientBoosting,rolling,829,8.329558926241708e-08,0.0002886097525421,6.154613013701272e-05,-0.0139865109735421,1.270985867290511e-07,0.6553620414362805
MHAR,5,JNJ,HAR,rolling,829,1.270985867290511e-07,0.0003565088873072,7.39552675394532e-05,-0.5472158087632062,1.270985867290511e-07,1.0
MHAR,5,JNJ,HARQ,rolling,829,8.875722557534874e-08,0.0002979215090847,6.090395209650637e-05,-0.0804729311813239,1.270985867290511e-07,0.6983336940210162
MHAR,5,JNJ,HARX,rolling,829,1.270985867290511e-07,0.0003565088873072,7.39552675394532e-05,-0.5472158087632062,1.270985867290511e-07,1.0
MHAR,5,JNJ,Lasso,rolling,829,8.321051753741671e-08,0.0002884623329611,6.583052908638642e-05,-0.0129509029373955,1.270985867290511e-07,0.6546927049220854
MHAR,5,JNJ,LevHAR,rolling,829,1.0858724607408558e-07,0.0003295257896949,7.150336111327825e-05,-0.3218707467931572,1.270985867290511e-07,0.8543544729224408
MHAR,5,JNJ,LogHAR,rolling,829,9.12363797898368e-08,0.0003020536041662,5.585270403341441e-05,-0.1106525475856745,1.270985867290511e-07,0.7178394515458668
MHAR,5,JNJ,NN1,fixed,829,8.288162985473215e-08,0.0002878916981344,4.885612247028437e-05,-0.008947237475388,1.270985867290511e-07,0.6521050468595635
MHAR,5,JNJ,NN1_1,fixed,829,8.69516207314518e-08,0.0002948756021298,5.33687466422736e-05,-0.0584926682157547,1.270985867290511e-07,0.6841273610446619
MHAR,5,JNJ,NN2,fixed,829,8.304373883275438e-08,0.0002881731056721,4.9432052699713155e-05,-0.0109206470938059,1.270985867290511e-07,0.6533805054007967
MHAR,5,JNJ,NN2_1,fixed,829,2.3585999224183407e-07,0.0004856541899766,6.136955522484851e-05,-1.8712066596718588,1.270985867290511e-07,1.8557247433808264
MHAR,5,JNJ,NN3,fixed,829,9.696116924551645e-08,0.0003113858847884,5.8305603038689166e-05,-0.1803424235758055,1.270985867290511e-07,0.7628815688739198
