dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,22,NN4,fixed,25,7.1568563088046185e-09,7.688593481262856e-05,4.3696796997214234e-05,0.7656646076624408,0.6927761807797104
MHAR,22,NN4_1,fixed,25,7.363201924482799e-09,7.841605696832948e-05,4.344455567236674e-05,0.8155200621635451,0.6885673600463147
MHAR,22,PostLasso,rolling,25,1.098755355168634e-08,9.379486630884106e-05,6.32509938501171e-05,1.0562263076898106,1.0568565080309742
MHAR,22,RandomForest,rolling,25,1.0362198957984298e-08,9.232541552389808e-05,5.0527660284367945e-05,1.0624288567962188,1.0331757621312798
MHAR,22,Ridge,rolling,25,1.1353708979623514e-08,9.491728208795492e-05,6.332661063505108e-05,1.0632561265036962,1.0526363180993827
MHAR,22,SHAR,rolling,25,1.1251361897775229e-08,9.329299898984128e-05,5.9377788883919965e-05,1.0186022279698688,0.9988430570182256
PARTIAL_MALL,1,AdaptiveLasso,rolling,25,7.270136679248228e-08,0.0002085106452598,6.783078628638516e-05,1.0063008445893409,0.9832879859815764
PARTIAL_MALL,1,Bagging,rolling,25,6.757106941214614e-08,0.0002038525809803,5.505957207452377e-05,0.9819082079919642,0.9510406042169388
PARTIAL_MALL,1,ElasticNet,rolling,25,7.085798410040423e-08,0.0002055631610711,6.681600575706317e-05,0.9760968528531422,0.94638056469643
PARTIAL_MALL,1,GradientBoosting,rolling,25,6.762082375611996e-08,0.0002043580043456,6.064186234378499e-05,0.989017448238734,0.9783466158873204
PARTIAL_MALL,1,HAR,rolling,25,7.44240688162472e-08,0.0002090527886637,6.080057491702465e-05,1.0,1.0
PARTIAL_MALL,1,HARQ,rolling,25,6.860421240644113e-08,0.0002074267131924,6.22056980162517e-05,1.035539898067769,0.9955506212815602
PARTIAL_MALL,1,HARX,rolling,25,7.252067789250556e-08,0.0002087688566517,6.526766728559818e-05,1.01612180587177,0.9820521696141218
PARTIAL_MALL,1,Lasso,rolling,25,7.12716964554662e-08,0.0002061239231302,6.678658445551168e-05,0.9819660947121808,0.9607727394029192
PARTIAL_MALL,1,LevHAR,rolling,25,7.41706036976289e-08,0.0002145681017046,7.029468387902089e-05,1.1216509252002491,0.9909723380555864
PARTIAL_MALL,1,LogHAR,rolling,25,6.573741599239902e-08,0.0001976457146246,5.06242206106282e-05,0.9002826391051526,0.91068213779066
PARTIAL_MALL,1,NN1,fixed,25,6.762981429288719e-08,0.0002053355639983,5.842432295156951e-05,1.02017530122371,0.9982048261134308
PARTIAL_MALL,1,NN1_1,fixed,25,6.819005925235036e-08,0.0002073136929502,6.09860755203662e-05,1.0530880361360415,1.0178729395795465
