dataset,horizon,ticker,HAR,HARX,LogHAR,LevHAR,SHAR,HARQ,Ridge,Lasso,ElasticNet,AdaptiveLasso,PostLasso,Bagging,RandomForest,GradientBoosting,NN1_1,NN1,NN2_1,NN2,NN3_1,NN3,NN4_1,NN4
MHAR,22,INTC,1.0,1.0,0.8531760173497009,1.0542580402593338,0.9424530676044084,1.088960064476983,1.0460602907603838,1.1701242803988832,1.165332794411662,1.1592497634666896,1.0433748967644996,1.3370274832398812,1.1360054689702572,1.8685952532434298,0.7991952064912896,0.7307800367217435,4.632289636255943,1.0398717061822222,0.8136009600055544,0.7686745326904952,0.8491237053022378,0.8063562562336746
MHAR,22,JNJ,1.0,1.0,0.5992871525659061,0.7790624482920093,1.0284454411893549,0.6036406053064804,0.9894864499567629,0.47821497380010547,0.47886937680170444,0.47796653058227406,0.6202399109206741,0.5924476707698104,0.5630937819395607,0.4916667337947009,0.5478844956897159,0.5069626347647684,0.5153058768593007,0.5066314356366759,0.501278833817719,0.5270734174438423,0.5237757520823273,0.5441155089524751
MHAR,22,JPM,1.0,1.0,0.650406919852782,1.1738675383040869,0.9660606611090037,0.9935515204130211,1.1644716634605985,1.2210394383268843,1.1644981308523017,1.1921751533661675,1.1644716544212872,0.848296572361186,0.9543081655030967,1.059886807648881,0.44181847966898546,0.4474904963370342,0.4735241490021649,1.2768763711489295,0.4211259648724875,0.4308096176309898,0.45485667476178737,0.435981628661463
MHAR,22,KO,1.0,1.0,0.8540960069699494,1.0017611941921307,0.9988430570182256,1.0185529736353085,1.055810265212519,1.1861556196825473,1.1719222863551644,1.185985805484803,1.0525552898689,1.2084515310778392,1.0935784505120676,1.3420912153067164,0.6633204941089349,0.7474112708358042,0.6623284120510675,0.7503578772190379,1.240347480248703,0.7562099341708092,0.6885673600463147,0.7854672732408632
MHAR,22,MCD,1.0,1.0,0.8689420299648316,1.151674206033135,0.9713530781890151,1.0988681384558923,1.0839447872901165,1.1897905261960504,1.156494654695073,1.2115613657495605,1.0767188868513202,1.3208507187479608,1.0323008138017176,1.3183369949440655,0.8628535090500801,0.7653802792174347,0.9356922749646855,29.15877946138322,0.8843650983305846,0.95193573978857,0.9401922886442474,0.9427609330764957
MHAR,22,MMM,1.0,1.0,0.7951964837735236,0.9748386103345514,0.9819116826057805,1.1709429158238307,1.075293301862525,1.1422154263062372,1.1232105191567987,1.1345702129415756,1.0668606391832627,0.9937872393255144,1.0078148802474245,0.8359726551857517,0.6199525341939869,0.5991525746549801,0.6801137298931477,0.6122399555539583,0.597014743399409,0.6268113819749993,0.6534031747977133,0.6406985775291077
MHAR,22,MRK,1.0,1.0,0.8843662081210638,1.0886530882039793,1.0230136089879944,1.0829673941268603,1.1119086968714584,1.1852157614335148,1.1119195597875964,1.1411759311387404,1.1119086931478472,1.0502315073738948,1.0418853805843629,1.2044162633687818,0.7411828034527598,0.7557169312606155,0.7918322623850925,0.7711356307960161,0.8248166473037927,0.9171530390662811,0.7960529413142036,0.8396681239891959
MHAR,22,MSFT,1.0,1.0,0.8080246473124776,1.0205059777308378,0.968898912058209,0.9658354632893581,1.0163554211930839,1.179950529104314,1.1877198954618362,1.3102767602236278,1.0244887969432004,1.2565290423654418,1.1051529307526173,1.359465232643617,0.8450044450371188,0.9062352528392966,1.5463642896070535,0.9132347426654225,0.8984569399987381,0.8901947869942015,0.9272404735520019,0.9276845280093999
MHAR,22,NKE,1.0,1.0,0.8941198036959329,1.0042734249371799,0.9836101007645538,1.3145711754303742,1.0169979040012946,1.0905796383151505,1.0962740225623628,1.0789295226230438,1.017129121081048,0.9521026566873984,0.9548577832550732,1.0367398329315973,0.873003855944594,0.8431929074542912,0.9098637204640122,0.9452392893452253,4.517400809950117,0.9771082703441244,0.898178105146367,0.9192781024899588
MHAR,22,PFE,1.0,1.0,0.9572403942257603,1.0013752586739941,0.998412264488053,1.0822267758738557,1.0477853646512778,1.137759075279205,1.1037772231276486,1.104137765186924,1.044319481048098,0.9801439477143555,0.9930474259896751,1.2574052919635212,0.8468290693021685,0.9092207222321088,0.7973373742992914,0.9535458267735178,0.8905951985102125,0.9765754001055001,1.001576716351847,1.0022613607437483
MHAR,22,PG,1.0,1.0,0.7351228156430684,0.9946929388397453,0.978805882686045,0.846879121271692,1.0087308282013991,1.067098191959966,1.0789356929459288,1.0939556340284289,1.0829495341537925,1.7125305637895014,1.2325753957491146,1.8156523301509648,0.5888927256245772,0.5844135637741946,2.3425700690617677,0.577231476827336,0.5787415632609196,0.6624271526346229,1.9861506962344426,0.5749498636319785
MHAR,22,UNH,1.0,1.0,0.6626924740106237,0.9459359534241595,1.093401069452619,0.7106184377267271,0.9922909075770355,1.0266480055986633,1.006766879544566,0.822000084298033,1.0748881068007587,1.2312783033780494,0.9447853347678902,1.7637464818514546,0.5434707321904519,0.5535667555145656,1.3842324716875571,0.557355517624175,0.547020243108698,0.5519329750734873,0.551028938458563,0.5497999274327634
MHAR,22,VZ,1.0,1.0,0.771062296063844,1.2508594141374312,1.045200731204836,1.0211525161077777,1.0526363180993827,1.1276109072495495,1.1169748627605307,1.1109389752345418,1.052510284943538,2.5074297469807902,1.3135636494125245,2.2546438622452687,0.5142270740214596,0.517418197899242,0.5778387831335311,0.5249136056694551,0.502845498651259,0.5059267477369762,0.5369865391867207,0.5026903474384712
MHAR,22,WMT,1.0,1.0,0.706483334308056,1.1925894256515293,1.5123283320702487,0.8642802807380737,1.0297284722097753,1.1894317743741465,1.2049087329333743,1.2010386691438721,1.0526913948504542,2.8456644087792182,1.5389175992790927,1.8746255381707706,0.7030522729808751,0.7271507184766189,0.8398102202395823,13.019617128385166,0.6848250737986532,0.7210445759768774,0.6162512284351724,0.6989592922957862
MHAR,22,XOM,1.0,1.0,0.8683487680477229,1.0159741432020106,0.9863564075845662,1.2002550038622861,1.0459362901003786,1.120109215572125,1.1001601564198862,1.1964291889262477,1.0478638865177197,1.1363907986177633,1.06878820533381,1.2054298223566162,1.0819457921773379,1.2276197061659444,1.5852786021093168,1.3148504843808562,1.5567336493656698,1.5136838247343443,1.5009604883164205,1.5620709981801177
PARTIAL_MALL,22,AAPL,1.0,1.3771298451763105,0.6578370509764943,1.4074542816173936,1.3685007464200254,1.374533560129268,1.6111451977684654,1.471289556340549,1.496996830941122,1.5722550108303908,1.478224578744914,0.7432992190823599,0.6906600808018379,0.8785157021058057,0.8303002816653237,0.6246832955942402,0.6305400273353547,0.5890863298162778,0.5662043702088582,0.5630727516389438,0.5661968244973953,0.5590364513000524
PARTIAL_MALL,22,AXP,1.0,3.801902446612476,0.6761096263091092,4.093309023511287,3.738347549574795,3.5319219763431997,4.2085623950559485,4.444875024221695,3.272803785568976,4.542838650827886,4.529458740047309,0.9474583524423896,0.8227733271513021,1.2613768955497242,0.4544836698629836,0.8669402794330505,0.49220713145960876,0.49512277294444684,0.496341954493421,0.48543711322186767,0.48922249932781325,0.49480487212760954
PARTIAL_MALL,22,BA,1.0,1.0729127864148689,0.6576900680519823,1.0628985854396358,1.0821316535622811,1.0742518677886697,1.0799759791992745,1.2040760960224126,1.0204400855607239,1.311236504337899,1.1048117438303997,0.6028273406626602,0.6231325260234212,0.8081223107442271,0.6826595792363382,0.6779304434080311,0.6450667632088632,0.657440525576326,0.7057033147800204,0.6776930664507296,0.715241185770621,0.6977325750268871
PARTIAL_MALL,22,CAT,1.0,1.3844184478065988,0.7444550234578188,1.3527907941964992,1.386479313379935,1.394472801334424,1.4383096614713324,1.5045578392598467,1.2284341682789663,1.587820932336137,1.4849010716777318,0.8627836797213556,0.7585760210714458,0.8863716401870854,1.7994851177928568,1.3347308433315643,1.5748284379227677,1.781362826076796,1.7857238082972582,1.8154305071609245,1.887407406850163,1.845801257063249
PARTIAL_MALL,22,CSCO,1.0,1.5203400089151096,0.7361996296265008,1.5706849792537327,1.5006132823285845,1.4603592134267456,1.7310454417002827,1.829192200171763,1.6760502071310008,1.822671040053867,1.7312061346899834,0.79911694075245,0.8299158233071778,1.350029683769395,0.6244114169035853,0.47777819530199295,0.7753061070824802,0.6802466249064134,0.6844963528440101,0.6542904357774738,0.6865008487407614,0.6707860941195646
PARTIAL_MALL,22,DIS,1.0,1.2985648752133476,0.8649834295359625,1.3472010762628266,1.3039764124885171,1.3527862739762255,1.3534838575289905,1.3508104885732528,1.4005226268631548,1.6102836233231508,1.3650384256172843,0.8383608573791548,0.8596240817133995,1.2590598769319494,0.7888477303844899,0.7562962764327938,0.7819499579016047,0.785633856993974,0.7779252403337483,0.7861740024473001,0.7864576755663775,0.7817911708028461
