dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,GE,PostLasso,rolling,837,1.2122443150902076e-08,0.00011010196706191073,7.826196996641784e-05,-0.6865564377689999,1.1470282918054183e-08,1.0568565080309742
MHAR,22,GE,RandomForest,rolling,837,1.3534151624698709e-08,0.00011633637275030845,5.7610364429052154e-05,-0.8829628869555721,1.1470282918054183e-08,1.1799318047679543
MHAR,22,GE,Ridge,rolling,837,1.2122443178141774e-08,0.00011010196718561287,7.826197022022946e-05,-0.686556441558771,1.1470282918054183e-08,1.05685651040578
MHAR,22,GE,SHAR,rolling,837,1.1496400490768002e-08,0.00010722126883584246,7.257161988562375e-05,-0.5994571405709277,1.1470282918054183e-08,1.0022769772027775
MHAR,22,GS,AdaptiveLasso,rolling,818,1.2763004859139286e-08,0.00011297346971364244,0.00010243359898402286,-1.585137510051033,1.066541330460975e-08,1.1966723177640877
MHAR,22,GS,Bagging,rolling,818,3.8525262643179824e-08,0.00019627853332236775,6.855628858325628e-05,-6.803264406981379,1.066541330460975e-08,3.6121678122430225
MHAR,22,GS,ElasticNet,rolling,818,1.2592456602809992e-08,0.00011221611561094954,0.00010142067600926932,-1.550593082655086,1.066541330460975e-08,1.1806815397737418
MHAR,22,GS,GradientBoosting,rolling,818,1.3933084658557722e-08,0.00011803848803910411,7.774470601351331e-05,-1.8221363369427732,1.066541330460975e-08,1.3063801899299707
MHAR,22,GS,HAR,rolling,818,1.066541330460975e-08,0.00010327348790764137,9.17325197101363e-05,-1.1602718402320962,1.066541330460975e-08,1.0
MHAR,22,GS,HARQ,rolling,818,1.0610249402152918e-08,0.0001030060648804376,8.062141292346968e-05,-1.1490984312256867,1.066541330460975e-08,0.9948277763944705
MHAR,22,GS,HARX,rolling,818,1.066541330460975e-08,0.00010327348790764137,9.17325197101363e-05,-1.1602718402320962,1.066541330460975e-08,1.0
MHAR,22,GS,Lasso,rolling,818,1.313209252602663e-08,0.00011459534251454826,0.00010419718241735026,-1.6598959531213149,1.066541330460975e-08,1.2312783528370856
MHAR,22,GS,LevHAR,rolling,819,1.4826289731733273e-08,0.00012176325279711147,8.71272653401673e-05,-2.002982928815009,1.066541330460975e-08,1.390128006134102
MHAR,22,GS,LogHAR,rolling,818,6.761046385316719e-09,8.22255823045159e-05,5.7512200256431806e-05,-0.3694451119292217,1.066541330460975e-08,0.6339225862343745
MHAR,22,GS,NN1,fixed,818,4.934774482765589e-09,7.02479500253608e-05,4.571599606363584e-05,0.0004649563456858852,1.066541330460975e-08,0.46268947501853547
MHAR,22,GS,NN1_1,fixed,818,5.609922996197209e-09,7.489941919799652e-05,4.7464690312889904e-05,-0.1362858923917467,1.066541330460975e-08,0.5259920863800485
MHAR,22,GS,NN2,fixed,818,4.454536161812758e-09,6.674231163072461e-05,4.1874765442279465e-05,0.09773688493623989,1.066541330460975e-08,0.4176618415610243
MHAR,22,GS,NN2_1,fixed,818,5.644364511670429e-09,7.512898582884258e-05,4.724217466190187e-05,-0.1432619967288904,1.066541330460975e-08,0.5292213579037628
MHAR,22,GS,NN3,fixed,818,4.525447238341033e-09,6.727144444964025e-05,4.2411376727262956e-05,0.08337389707918563,1.066541330460975e-08,0.4243105362250769
MHAR,22,GS,NN3_1,fixed,818,5.890810003680062e-09,7.67516123848878e-05,4.8030663172317496e-05,-0.19317935495357785,1.066541330460975e-08,0.5523283379120402
MHAR,22,GS,NN4,fixed,818,4.504573609082701e-09,6.711612033694067e-05,4.274591231596455e-05,0.08760183576307401,1.066541330460975e-08,0.42235340351374456
MHAR,22,GS,NN4_1,fixed,818,5.231468818512959e-09,7.232889338648117e-05,4.520018418335947e-05,-0.05963026925559367,1.066541330460975e-08,0.49050783772738005
MHAR,22,GS,PostLasso,rolling,818,1.2592215330646734e-08,0.00011221504057231693,0.00010141947414494119,-1.5505442131509017,1.066541330460975e-08,1.1806589178502995
