dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,5,AdaptiveLasso,rolling,3,2.0912481654346475e-08,0.00014339737659839675,8.181915002338656e-05,1.0774949540337908,1.0523895383765491
MHAR,5,Bagging,rolling,3,1.9492497843448515e-08,0.00013857766185083645,6.438262448285901e-05,1.0108473392047383,0.9931657920639931
MHAR,5,ElasticNet,rolling,3,2.0284755091586388e-08,0.0001407162331698503,8.389353258513243e-05,1.028572723387036,1.0323617623543593
MHAR,5,GradientBoosting,rolling,3,1.8243438915156946e-08,0.00013392066201259336,6.909079276448353e-05,0.9414971879986694,0.9050135135610433
MHAR,5,HAR,rolling,3,1.9677875156211056e-08,0.0001386717506974334,7.246288406442303e-05,1.0,1.0
MHAR,5,HARQ,rolling,3,2.0742961093957133e-08,0.00014247216877928987,6.609462039995107e-05,1.0599974213866241,1.0034212720139002
MHAR,5,HARX,rolling,3,1.9677875156211056e-08,0.0001386717506974334,7.246288406442303e-05,1.0,1.0
MHAR,5,Lasso,rolling,3,2.0781316826169173e-08,0.00014265946903334182,8.277969880265366e-05,1.0608102069421002,1.0523895238973544
MHAR,5,LevHAR,rolling,3,2.2287446608220196e-08,0.00014773529700996837,7.324646506990348e-05,1.1554627933793276,1.0025114294054789
MHAR,5,LogHAR,rolling,3,1.6030745964432913e-08,0.00012533726926890228,5.750803976465743e-05,0.8195547031889951,0.8059567565926785
MHAR,5,NN1,fixed,3,1.8008588518941462e-08,0.00013284338651109744,7.515440161768123e-05,0.9211084466726636,0.90430125946293
MHAR,5,NN1_1,fixed,3,1.8538508621966404e-08,0.00013474118995636855,6.621558682432271e-05,0.946180100675778,0.9496905218891712
MHAR,5,NN2,fixed,3,1.9735419641555932e-08,0.00013880393796558788,8.479083340205895e-05,1.0031598204928593,0.9752393011589324
MHAR,5,NN2_1,fixed,3,1.750194653697234e-08,0.00013115717432160911,6.767180939831021e-05,0.9002617222305092,0.915939214269268
MHAR,5,NN3,fixed,3,2.209841230995505e-08,0.00014639276442064578,9.753117414826831e-05,1.1140874262661542,1.1051771156584462
MHAR,5,NN3_1,fixed,3,2.0067153846871762e-08,0.00014009131972825395,8.643765707378088e-05,1.0217157762499618,0.9995057035624998
MHAR,5,NN4,fixed,3,2.1219701916283107e-08,0.00014341769932269357,9.545228376044747e-05,1.0665209167014582,1.080759434529582
MHAR,5,NN4_1,fixed,3,1.9195738948332133e-08,0.00013670548682158504,8.315794281577058e-05,0.9719830631116905,0.9550878018926574
MHAR,5,PostLasso,rolling,3,2.026697278176035e-08,0.00014076917770647744,7.646205839881673e-05,1.0309445510973585,1.0217518016930756
MHAR,5,RandomForest,rolling,3,1.7822315526884305e-08,0.00013200074201778715,6.184073047331074e-05,0.907057244880638,0.8863015829582958
